source_group,method,id,score,source_file
Original GPT-4 logs,Original Standard,0,7.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,1,8.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,2,7.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,3,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,4,5.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,5,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,6,7.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,7,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,8,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,9,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,10,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,11,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,12,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,13,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,14,7.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,15,7.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,16,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,17,7.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,18,6.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,19,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,20,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,21,9.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,22,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,23,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,24,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,25,8.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,26,5.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,27,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,28,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,29,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,30,5.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,31,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,32,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,33,8.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
