source_file,method,beam,batch_mode,batch_size,model,idx,inputs,equation,verified,elapsed_s,depth0_max_score,depth0_mean_score,depth0_min_score,depth0_n_candidates,depth0_score_1,depth0_score_2,depth0_score_3,depth0_score_4,depth0_score_5,depth1_max_score,depth1_mean_score,depth1_min_score,depth1_n_candidates,depth1_score_1,depth1_score_2,depth1_score_3,depth1_score_4,depth1_score_5,depth2_max_score,depth2_mean_score,depth2_min_score,depth2_n_candidates,depth2_score_1,depth2_score_2,depth2_score_3,depth2_score_4,depth2_score_5
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,57,1 7 9 11,(11 + 1) * (9 - 7) = 24,True,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,2,2 5 8 11,(11 - 5) * (8 / 2) = 24,True,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,84,2 6 7 11,(11 - 6 + 7) * 2 = 24,True,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,58,2 3 6 13,((13 + 2) + 6) + 3 = 24,True,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,3,3 4 4 13,4 * ( (13 - 4) - 3 ) = 24,True,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,83,2 3 4 9,(9 + 3) / 2 * 4 = 24,True,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,59,2 2 5 12,(5 * 2 + 2) + 12 = 24,True,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,56,3 4 6 8,(8 - 6) * (4 * 3) = 24,True,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,29,5 6 8 12,(12 * 6) / (8 - 5) = 24,True,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,31,2 5 10 10,(10 + 10 / 5) * 2 = 24,True,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,4,6 7 8 9,(8 / (9 - 7)) * 6 = 24,True,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,60,2 6 8 13,(13 * (8 - 6)) - 2 = 24,True,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,87,2 4 5 6,(5 * 6) - (4 + 2) = 24,True,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,30,2 4 6 7,(7 - 4) * (2 + 6) = 24,True,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,5,1 11 11 13,(13 - 11) * (11 + 1) = 24,True,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,62,1 3 8 13,(13 + 3 + 8) * 1 = 24,True,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,28,4 7 9 13,(13 - 9) * 7 - 4 = 24,True,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,1,1 2 4 7,(7 + 4 + 1) * 2 = 24,True,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,6,1 8 10 11,(11 + 1) * (10 - 8) = 24,True,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,7,2 3 6 9,(9 - 3 + 6) * 2 = 24,True,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,27,6 9 12 13,(13 + 9) + (12 / 6) = 24,True,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,61,8 8 10 12,(12 - 10) * 8 + 8 = 24,True,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,8,1 3 5 9,(5 * 3 + 9) * 1 = 24,True,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
