id,method,score,source
49,io,6.0,results/runs/text_io_gem25_n100.jsonl
20,io,5.0,results/runs/text_io_gem25_n100.jsonl
80,io,3.3333333333333335,results/runs/text_io_gem25_n100.jsonl
79,io,5.333333333333333,results/runs/text_io_gem25_n100.jsonl
19,io,5.333333333333333,results/runs/text_io_gem25_n100.jsonl
50,io,7.666666666666667,results/runs/text_io_gem25_n100.jsonl
51,io,8.333333333333334,results/runs/text_io_gem25_n100.jsonl
22,io,6.0,results/runs/text_io_gem25_n100.jsonl
21,io,6.666666666666667,results/runs/text_io_gem25_n100.jsonl
52,io,3.6666666666666665,results/runs/text_io_gem25_n100.jsonl
83,io,3.0,results/runs/text_io_gem25_n100.jsonl
23,io,7.333333333333333,results/runs/text_io_gem25_n100.jsonl
24,io,3.3333333333333335,results/runs/text_io_gem25_n100.jsonl
82,io,6.333333333333333,results/runs/text_io_gem25_n100.jsonl
84,io,5.0,results/runs/text_io_gem25_n100.jsonl
54,io,6.0,results/runs/text_io_gem25_n100.jsonl
53,io,6.333333333333333,results/runs/text_io_gem25_n100.jsonl
25,io,8.0,results/runs/text_io_gem25_n100.jsonl
81,io,4.0,results/runs/text_io_gem25_n100.jsonl
86,io,7.0,results/runs/text_io_gem25_n100.jsonl
56,io,2.6666666666666665,results/runs/text_io_gem25_n100.jsonl
27,io,10.0,results/runs/text_io_gem25_n100.jsonl
55,io,8.0,results/runs/text_io_gem25_n100.jsonl
85,io,6.333333333333333,results/runs/text_io_gem25_n100.jsonl
57,io,8.333333333333334,results/runs/text_io_gem25_n100.jsonl
28,io,7.666666666666667,results/runs/text_io_gem25_n100.jsonl
88,io,7.666666666666667,results/runs/text_io_gem25_n100.jsonl
87,io,9.0,results/runs/text_io_gem25_n100.jsonl
89,io,3.0,results/runs/text_io_gem25_n100.jsonl
30,io,5.333333333333333,results/runs/text_io_gem25_n100.jsonl
29,io,3.3333333333333335,results/runs/text_io_gem25_n100.jsonl
58,io,7.666666666666667,results/runs/text_io_gem25_n100.jsonl
90,io,9.0,results/runs/text_io_gem25_n100.jsonl
59,io,10.0,results/runs/text_io_gem25_n100.jsonl
60,io,8.666666666666666,results/runs/text_io_gem25_n100.jsonl
31,io,8.333333333333334,results/runs/text_io_gem25_n100.jsonl
0,io,6.0,results/runs/text_io_gem25_n100.jsonl
61,io,5.0,results/runs/text_io_gem25_n100.jsonl
1,io,3.6666666666666665,results/runs/text_io_gem25_n100.jsonl
32,io,5.0,results/runs/text_io_gem25_n100.jsonl
62,io,4.333333333333333,results/runs/text_io_gem25_n100.jsonl
92,io,5.333333333333333,results/runs/text_io_gem25_n100.jsonl
93,io,9.666666666666666,results/runs/text_io_gem25_n100.jsonl
33,io,6.666666666666667,results/runs/text_io_gem25_n100.jsonl
3,io,5.0,results/runs/text_io_gem25_n100.jsonl
63,io,7.0,results/runs/text_io_gem25_n100.jsonl
34,io,6.0,results/runs/text_io_gem25_n100.jsonl
94,io,4.333333333333333,results/runs/text_io_gem25_n100.jsonl
64,io,7.0,results/runs/text_io_gem25_n100.jsonl
35,io,4.0,results/runs/text_io_gem25_n100.jsonl
95,io,3.0,results/runs/text_io_gem25_n100.jsonl
5,io,4.333333333333333,results/runs/text_io_gem25_n100.jsonl
65,io,5.333333333333333,results/runs/text_io_gem25_n100.jsonl
36,io,9.666666666666666,results/runs/text_io_gem25_n100.jsonl
91,io,3.6666666666666665,results/runs/text_io_gem25_n100.jsonl
6,io,4.666666666666667,results/runs/text_io_gem25_n100.jsonl
66,io,6.333333333333333,results/runs/text_io_gem25_n100.jsonl
37,io,3.6666666666666665,results/runs/text_io_gem25_n100.jsonl
26,io,5.0,results/runs/text_io_gem25_n100.jsonl
7,io,9.333333333333334,results/runs/text_io_gem25_n100.jsonl
97,io,5.333333333333333,results/runs/text_io_gem25_n100.jsonl
38,io,3.3333333333333335,results/runs/text_io_gem25_n100.jsonl
67,io,9.666666666666666,results/runs/text_io_gem25_n100.jsonl
98,io,5.0,results/runs/text_io_gem25_n100.jsonl
8,io,8.0,results/runs/text_io_gem25_n100.jsonl
39,io,9.333333333333334,results/runs/text_io_gem25_n100.jsonl
99,io,10.0,results/runs/text_io_gem25_n100.jsonl
9,io,8.0,results/runs/text_io_gem25_n100.jsonl
69,io,10.0,results/runs/text_io_gem25_n100.jsonl
40,io,9.0,results/runs/text_io_gem25_n100.jsonl
2,io,8.666666666666666,results/runs/text_io_gem25_n100.jsonl
70,io,3.0,results/runs/text_io_gem25_n100.jsonl
41,io,6.666666666666667,results/runs/text_io_gem25_n100.jsonl
71,io,8.333333333333334,results/runs/text_io_gem25_n100.jsonl
11,io,9.666666666666666,results/runs/text_io_gem25_n100.jsonl
42,io,9.333333333333334,results/runs/text_io_gem25_n100.jsonl
12,io,8.0,results/runs/text_io_gem25_n100.jsonl
72,io,9.0,results/runs/text_io_gem25_n100.jsonl
43,io,5.666666666666667,results/runs/text_io_gem25_n100.jsonl
4,io,7.666666666666667,results/runs/text_io_gem25_n100.jsonl
73,io,8.333333333333334,results/runs/text_io_gem25_n100.jsonl
44,io,9.0,results/runs/text_io_gem25_n100.jsonl
14,io,9.0,results/runs/text_io_gem25_n100.jsonl
13,io,7.0,results/runs/text_io_gem25_n100.jsonl
45,io,9.0,results/runs/text_io_gem25_n100.jsonl
74,io,3.0,results/runs/text_io_gem25_n100.jsonl
96,io,6.333333333333333,results/runs/text_io_gem25_n100.jsonl
15,io,9.333333333333334,results/runs/text_io_gem25_n100.jsonl
16,io,4.666666666666667,results/runs/text_io_gem25_n100.jsonl
46,io,9.333333333333334,results/runs/text_io_gem25_n100.jsonl
75,io,7.666666666666667,results/runs/text_io_gem25_n100.jsonl
47,io,8.0,results/runs/text_io_gem25_n100.jsonl
17,io,6.333333333333333,results/runs/text_io_gem25_n100.jsonl
48,io,5.333333333333333,results/runs/text_io_gem25_n100.jsonl
18,io,3.3333333333333335,results/runs/text_io_gem25_n100.jsonl
78,io,7.666666666666667,results/runs/text_io_gem25_n100.jsonl
68,io,8.666666666666666,results/runs/text_io_gem25_n100.jsonl
10,io,7.666666666666667,results/runs/text_io_gem25_n100.jsonl
76,io,8.0,results/runs/text_io_gem25_n100.jsonl
77,io,9.333333333333334,results/runs/text_io_gem25_n100.jsonl
19,cot,6.0,results/runs/text_cot_gem25_n100.jsonl
80,cot,7.0,results/runs/text_cot_gem25_n100.jsonl
20,cot,7.333333333333333,results/runs/text_cot_gem25_n100.jsonl
